"Year","COUNTYFIPS","COUNTYNAME","weighted_agi_stub","designatedArea","count"
2015,33,"Lake County",3.93710191082803,"Lake (County)",3
2015,35,"Lassen County",4.34409687184662,NA,NA
2015,37,"Los Angeles County",4.20882892504328,NA,NA
2015,39,"Madera County",3.96516393442623,NA,NA
2015,41,"Marin County",5.13735103333836,NA,NA
2015,43,"Mariposa County",4.17063492063492,NA,NA
2015,45,"Mendocino County",4.01922091235264,NA,NA
2015,47,"Merced County",3.93123520126283,NA,NA
2015,49,"Modoc County",4,NA,NA
2015,51,"Mono County",4.21316614420063,NA,NA
2015,53,"Monterey County",4.2248772338379,NA,NA
2015,55,"Napa County",4.62737697779068,"Napa (County)",2
2015,57,"Nevada County",4.38416003265973,NA,NA
2015,59,"Orange County",4.51680400764757,NA,NA
2015,61,"Placer County",4.81549168269775,"Placer (County)",1
2015,63,"Plumas County",4.18337129840547,NA,NA
2015,65,"Riverside County",4.19516686556109,NA,NA
2015,67,"Sacramento County",4.34535084584227,NA,NA
2015,69,"San Benito County",4.44961240310078,NA,NA
2015,71,"San Bernardino Count",4.09291701828411,"San Bernardino (County)",1
2015,73,"San Diego County",4.4523335559437,NA,NA
2015,75,"San Francisco County",4.99699361142428,NA,NA
2015,77,"San Joaquin County",4.22461996034369,NA,NA
2015,79,"San Luis Obispo Coun",4.47782950469358,NA,NA
2015,81,"San Mateo County",5.05591442302723,NA,NA
2015,83,"Santa Barbara County",4.36696886085928,NA,NA
2015,85,"Santa Clara County",5.05922151049226,NA,NA
2015,87,"Santa Cruz County",4.49335055855308,NA,NA
2015,89,"Shasta County",4.12483762016108,NA,NA
2015,91,"Sierra County",4.13008130081301,NA,NA
2015,93,"Siskiyou County",3.92898781134075,NA,NA
2015,95,"Solano County",4.50993377483444,"Solano (County)",1
2015,97,"Sonoma County",4.52914290336933,"Sonoma (County)",1
2015,99,"Stanislaus County",4.1239799121155,NA,NA
2015,101,"Sutter County",4.15577889447236,NA,NA
2015,103,"Tehama County",3.98489666136725,NA,NA
2015,105,"Trinity County",3.91063829787234,NA,NA
2015,107,"Tulare County",3.90902421129861,NA,NA
2015,109,"Tuolumne County",4.24444444444444,NA,NA
2015,111,"Ventura County",4.49938289889415,NA,NA
2015,113,"Yolo County",4.48305949008499,"Yolo (County)",1
2015,115,"Yuba County",4.04430379746835,NA,NA
2016,1,"Alameda County",4.85581116580377,NA,NA
2016,3,"Alpine County",4.16666666666667,NA,NA
2016,5,"Amador County",4.43223880597015,NA,NA
2016,7,"Butte County",4.15940794377596,NA,NA
2016,9,"Calaveras County",4.39655172413793,NA,NA
2016,11,"Colusa County",4.16224489795918,NA,NA
2016,13,"Contra Costa County",4.92237367327042,NA,NA
2016,15,"Del Norte County",4.04213771839671,NA,NA
2016,17,"El Dorado County",4.73600089415446,NA,NA
2016,19,"Fresno County",4.07111077212519,"Fresno (County)",1
2016,21,"Glenn County",4.03565505804312,NA,NA
2016,23,"Humboldt County",4.07466103187181,NA,NA
2016,25,"Imperial County",3.7884345943192,NA,NA
2016,27,"Inyo County",4.34128878281623,NA,NA
2016,29,"Kern County",4.11127980709119,"Kern (County)",2
2016,31,"Kings County",4.09672646569262,NA,NA
2016,33,"Lake County",3.96859049862583,"Lake (County)",1
2016,35,"Lassen County",4.3894523326572,NA,NA
2016,37,"Los Angeles County",4.26164386219445,"Los Angeles (County)",4
2016,39,"Madera County",4.03155381204162,NA,NA
2016,41,"Marin County",5.19800699832649,NA,NA
2016,43,"Mariposa County",4.22513089005236,NA,NA
2016,45,"Mendocino County",4.0687979539642,NA,NA
2016,47,"Merced County",3.9766695829688,NA,NA
2016,49,"Modoc County",3.98280802292264,NA,NA
2016,51,"Mono County",4.27613104524181,NA,NA
2016,53,"Monterey County",4.29668314057166,"Monterey (County)",1
2016,55,"Napa County",4.6871764531874,NA,NA
2016,57,"Nevada County",4.43050778879223,NA,NA
2016,59,"Orange County",4.56618749625127,NA,NA
2016,61,"Placer County",4.86696817605207,NA,NA
2016,63,"Plumas County",4.226393629124,NA,NA
2016,65,"Riverside County",4.24353982300885,NA,NA
2016,67,"Sacramento County",4.39199988269623,NA,NA
2016,69,"San Benito County",4.51427551748751,NA,NA
2016,71,"San Bernardino Count",4.13459634446163,"San Bernardino (County)",2
2016,73,"San Diego County",4.5044468206353,"San Diego (County)",1
2016,75,"San Francisco County",5.07131776445432,NA,NA
2016,77,"San Joaquin County",4.27560377114813,NA,NA
2016,79,"San Luis Obispo Coun",4.53273945485001,"San Luis Obispo (County)",1
2016,81,"San Mateo County",5.12759022118743,NA,NA
2016,83,"Santa Barbara County",4.4189048304622,NA,NA
2016,85,"Santa Clara County",5.12741384392022,NA,NA
2016,87,"Santa Cruz County",4.56054463397843,NA,NA
2016,89,"Shasta County",4.18242101157197,NA,NA
2016,91,"Sierra County",4.13821138211382,NA,NA
2016,93,"Siskiyou County",3.95663531870428,NA,NA
2016,95,"Solano County",4.56991525423729,NA,NA
2016,97,"Sonoma County",4.58530561844001,NA,NA
2016,99,"Stanislaus County",4.17636379737868,NA,NA
2016,101,"Sutter County",4.17943598702271,NA,NA
2016,103,"Tehama County",4.02703777335984,NA,NA
2016,105,"Trinity County",3.94989106753813,NA,NA
2016,107,"Tulare County",3.96148032025083,"Tulare (County)",1
2016,109,"Tuolumne County",4.30553261767135,NA,NA
2016,111,"Ventura County",4.54526357412945,NA,NA
2016,113,"Yolo County",4.53266726537943,NA,NA
2016,115,"Yuba County",4.08144329896907,NA,NA
2017,1,"Alameda County",4.94380598700223,"Alameda (County)",3
2017,3,"Alpine County",4.24444444444444,"Alpine (County)",1
2017,5,"Amador County",4.50440917107584,"Amador (County)",2
2017,7,"Butte County",4.22733105218135,"Butte (County)",4
2017,9,"Calaveras County",4.49632533072023,"Calaveras (County)",3
2017,11,"Colusa County",4.21414141414141,"Colusa (County)",1
2017,13,"Contra Costa County",4.9913754054103,"Contra Costa (County)",3
2017,15,"Del Norte County",4.10584677419355,"Del Norte (County)",1
2017,17,"El Dorado County",4.80833606826387,"El Dorado (County)",3
2017,19,"Fresno County",4.11509123541729,NA,NA
2017,21,"Glenn County",4.08842443729904,"Glenn (County)",1
2017,23,"Humboldt County",4.1343466107617,"Humboldt (County)",2
2017,25,"Imperial County",3.8354967548677,NA,NA
2017,27,"Inyo County",4.38569753810082,"Inyo (County)",2
2017,29,"Kern County",4.15379657839231,"Kern (County)",1
2017,31,"Kings County",4.12233850595453,"Kings (County)",1
2017,33,"Lake County",4.03953488372093,"Lake (County)",2
2017,35,"Lassen County",4.44545454545455,"Lassen (County)",2
2017,37,"Los Angeles County",4.32226941540976,"Los Angeles (County)",2
2017,39,"Madera County",4.08700016730801,"Madera (County)",2
2017,41,"Marin County",5.28420972874678,"Marin (County)",2
2017,43,"Mariposa County",4.2608125819135,"Mariposa (County)",3
2017,45,"Mendocino County",4.1401705115346,"Mendocino (County)",2
2017,47,"Merced County",4.03203791469194,"Merced (County)",2
2017,49,"Modoc County",4.04733727810651,"Modoc (County)",2
2017,51,"Mono County",4.36923076923077,"Mono (County)",3
2017,53,"Monterey County",4.37560777957861,"Monterey (County)",2
2017,55,"Napa County",4.78258986574275,"Napa (County)",3
2017,57,"Nevada County",4.50298566878981,"Nevada (County)",2
2017,59,"Orange County",4.61987320566304,"Orange (County)",2
2017,61,"Placer County",4.94224272000858,"Placer (County)",1
2017,63,"Plumas County",4.33370535714286,"Plumas (County)",2
2017,65,"Riverside County",4.300753734141,"Riverside (County)",2
2017,67,"Sacramento County",4.45536520679521,"Sacramento (County)",3
2017,69,"San Benito County",4.62020062262193,"San Benito (County)",2
2017,71,"San Bernardino Count",4.18412905328336,NA,NA
2017,73,"San Diego County",4.56919624565849,"San Diego (County)",1
2017,75,"San Francisco County",5.17175129533679,NA,NA
2017,77,"San Joaquin County",4.34116541353383,"San Joaquin (County)",1
2017,79,"San Luis Obispo Coun",4.61831252364737,"San Luis Obispo (County)",3
2017,81,"San Mateo County",5.21454191432671,"San Mateo (County)",2
2017,83,"Santa Barbara County",4.47651769824006,"Santa Barbara (County)",2
2017,85,"Santa Clara County",5.21610913123526,"Santa Clara (County)",2
2017,87,"Santa Cruz County",4.64419418657739,"Santa Cruz (County)",3
2017,89,"Shasta County",4.25064432989691,"Shasta (County)",2
2017,91,"Sierra County",4.28225806451613,"Sierra (County)",2
2017,93,"Siskiyou County",4.02754677754678,"Siskiyou (County)",2
2017,95,"Solano County",4.63806234921236,"Solano (County)",2
2017,97,"Sonoma County",4.67517541737237,"Sonoma (County)",2
2017,99,"Stanislaus County",4.22935859551538,"Stanislaus (County)",1
2017,101,"Sutter County",4.23129417499391,"Sutter (County)",3
2017,103,"Tehama County",4.09330236159504,"Tehama (County)",1
2017,105,"Trinity County",3.98474945533769,"Trinity (County)",4
2017,107,"Tulare County",4.0010989614814,"Tulare (County)",1
2017,109,"Tuolumne County",4.38307440719542,"Tuolumne (County)",3
2017,111,"Ventura County",4.60571035093328,NA,NA
2017,113,"Yolo County",4.59929273952923,"Yolo (County)",3
2017,115,"Yuba County",4.14961679440187,"Yuba (County)",3
2018,1,"Alameda County",5.0559893068169,NA,NA
2018,3,"Alpine County",4.28260869565217,NA,NA
2018,5,"Amador County",4.58632676709154,NA,NA
2018,7,"Butte County",4.32497435312892,"Butte (County)",3
2018,9,"Calaveras County",4.5697503671072,NA,NA
2018,11,"Colusa County",4.27911646586345,NA,NA
2018,13,"Contra Costa County",5.07078226387888,NA,NA
2018,15,"Del Norte County",4.16416416416416,NA,NA
2018,17,"El Dorado County",4.88728574528097,NA,NA
2018,19,"Fresno County",4.1866313863198,NA,NA
2018,21,"Glenn County",4.1797124600639,NA,NA
2018,23,"Humboldt County",4.19954608938547,NA,NA
2018,25,"Imperial County",3.90229312063809,NA,NA
2018,27,"Inyo County",4.4603550295858,NA,NA
2018,29,"Kern County",4.22553241010124,NA,NA
2018,31,"Kings County",4.19474914583708,NA,NA
2018,33,"Lake County",4.12942090944423,"Lake (County)",5
2018,35,"Lassen County",4.53752535496957,NA,NA
